SPH2: Time: 90.000000, Points: 1.475811, Fuel Used: 34.248138
Time: 91.000000, Points: 1.554476, Fuel Used: 34.805649
Time: 92.000000, Points: 1.618413, Fuel Used: 35.242340
Time: 93.000000, Points: 1.670396, Fuel Used: 35.594452
Time: 94.000000, Points: 1.712829, Fuel Used: 35.879250
SPH1: Time: 90.000000, Points: 2.470202, Fuel Used: 39.691212
Time: 91.000000, Points: 2.568762, Fuel Used: 39.982914
Time: 92.000000, Points: 2.667293, Fuel Used: 40.203846
Time: 93.000000, Points: 2.765864, Fuel Used: 40.307407
Time: 94.000000, Points: 2.864461, Fuel Used: 40.391983
SPH2: Time: 95.000000, Points: 1.752137, Fuel Used: 36.025959
Time: 96.000000, Points: 1.805019, Fuel Used: 36.619717
Time: 97.000000, Points: 1.805019, Fuel Used: 37.244545
Time: 98.000000, Points: 1.854920, Fuel Used: 37.596657
Time: 99.000000, Points: 1.900049, Fuel Used: 37.822769
SPH1: Time: 95.000000, Points: 2.963055, Fuel Used: 40.428230
Time: 96.000000, Points: 3.061647, Fuel Used: 40.445492
Time: 97.000000, Points: 3.061647, Fuel Used: 41.165253
Time: 98.000000, Points: 3.160161, Fuel Used: 41.450912
Time: 99.000000, Points: 3.258853, Fuel Used: 41.588131
SPH2: Time: 100.000000, Points: 1.956888, Fuel Used: 38.445869
Time: 101.000000, Points: 2.003162, Fuel Used: 38.687519
Time: 102.000000, Points: 2.045854, Fuel Used: 38.830780
Time: 103.000000, Points: 2.045854, Fuel Used: 39.352043
Time: 104.000000, Points: 2.104909, Fuel Used: 39.968243
SPH1: Time: 100.000000, Points: 3.357548, Fuel Used: 41.702049
Time: 101.000000, Points: 3.456246, Fuel Used: 41.767639
Time: 102.000000, Points: 3.554948, Fuel Used: 41.793530
Time: 103.000000, Points: 3.554948, Fuel Used: 42.354496
Time: 104.000000, Points: 3.653515, Fuel Used: 42.571976
SPH2: Time: 105.000000, Points: 2.157712, Fuel Used: 40.163284
Time: 106.000000, Points: 2.222025, Fuel Used: 40.681095
Time: 107.000000, Points: 2.222025, Fuel Used: 41.544117
Time: 108.000000, Points: 2.301773, Fuel Used: 41.994614
